"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Cyprus","CYP","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.797738411603105","0.391678017169206","0.769494173005375","0.567063264413094","0.371557979764952","1.27850962306797","0.179609152523194","1.05966066133422","0.868213069905912","0.51251212945373","0.841064821706874","0.497098601164536","0.816355852781651","","0.952998888962129","1.56827812471575","0.774479356252759","1.07137500267844","0.605560101461595","0.149841018679181","",
"Cyprus","CYP","Voice and Accountability: Standard Error","VA.STD.ERR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.208809837698936","","0.214446097612381","","0.207885876297951","","0.199187502264977","0.191658720374107","0.176812872290611","0.176888763904572","0.163553267717361","0.16080205142498","0.159342855215073","0.149198800325394","0.146708935499191","0.146393060684204","0.14413520693779","0.14025491476059","0.154300719499588","0.153086200356483","0.150307908654213","0.151515081524849","0.154586464166641","0.145188644528389","0.11483009159565","0.110287807881832","0.109558649361134","0.111243329942226","",
"Cyprus","CYP","Voice and Accountability: Number of Sources","VA.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","6","","6","","6","7","8","8","9","9","9","10","10","10","10","10","8","8","8","9","9","8","8","9","9","9","",
"Cyprus","CYP","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.2956562000927","32.0172372189529","32.5294262032608","38.2015198109537","30.3585435469183","16.5914967808238","13.0833984575068","14.5282633236727","12.7108239034115","13.3285149968646","13.3499611387371","19.8567940881369","19.874215891301","12.2448277312995","15.9690026786633","17.6595981229011","18.7419533928829","18.0329234506901",
"Cyprus","CYP","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.2986624599","42.3467317754","37.9325919312","32.2102328493","30.1968618929","28.8606939304","29.617767769","25.5817399916","28.0094258749","28.7554537476","44.5","40.5","42.3","49.6","38.2","42.6","55.2","52.8","61.3","96","100","90","99.8","153.3","104.8","93","118.5","132.4","151.6","",
"Cyprus","CYP","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","1.17416829745597","1.08695652173913","0.742115027829314","1.05633802816901","0.738007380073801","0.810372771474878","0.879765395894428","0.840336134453782","0.376884422110553","0.210052685345669","0.205232367471728","0.277461041429114","0.307705530963943","0.968243750670529","0.885328836424958","3.82969950002577","0.491596767751252","1.2063243402017","3.14572267493649","3.58864040622102","1.46963625326754","0.914293231599026","0.48453908331654","0.356227196528942","0.354706401536784","0.650912095192594","0.921153770349639","1.37716871624397","1.71161310533929","1.24905425030778","0.997557311738995","1.17831944058778","1.26507234982354","1.22010651381062","1.25918828581504","0.925060046707484","1.0075390466284","1.82550587897987","1.52471385730256","1.6787584046853","2.14415739478297","2.6375615700086","3.36564664059093","3.49960199587786","2.28982049569223","1.84970940003889","2.27731451037598","2.47193063773382","2.06893617516827","2.7847033281244","2.7562285119917","2.58167948094744","2.53472521524983","2.74793136551273","2.82714958351692","6.4848132875876","8.1653864563913","2.66608593303464","3.36469939623796","3.87596067298225","10.3977841447605","9.23763992867576","9.82208336617767","9.01437526411666","",
"Cyprus","CYP","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","0.587084148727984","0.652173913043478","0.927643784786642","0.704225352112676","0.3690036900369","0.162074554294976","0.146627565982405","0.140056022408964","0.251256281407035","0.325983402394371","0.642144572450199","1.01292284302547","3.07189823370149","0.840172728248042","0.508809676106298","0.492610837438424","0.0474039740331564","0.00236335583023002","","","","","","","0.0390426249935102","","","0.000387443723799118","0.000714079854843939","0.012800781069939","0.00257729169129806","0.00426717339026014","0.0921070375374345","1.48172252690396","1.45662703262484","1.69744535056527","1.98547847290402","2.07163707187043","2.35788137698761","3.72204154216945","1.82026170956556","2.93486588167097","1.90993253054201","1.80445532179333","1.20523143784302","0.930233197378683","1.88419786226306","2.62119561118722","3.15215211942261","2.06189419739527","2.43848802964593","1.82094949170455","2.081454183593","1.81831312239141","1.25791866999521","0.872132532744116","1.04012960778662","1.42394281269265","0.856846681457327","1.87080228163888","1.4665037533869","1.26146110950115","3.48060580215571","0.775476941730393","",
"Cyprus","CYP","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","54000000","50000000","58000000","61000000","58000000","71000000","82000000","82000000","89000000","98000000","108000000","115000000","134000000","173000000","152000000","152000000","258000000","318000000","344000000","456000000","532000000","562000000","544000000","503000000","573000000","476000000","451000000","568000000","705000000","791000000","951000000","952000000","987000000","867000000","968000000","1229000000","1391000000","1250000000","1061000000","997000000","951000000","976000000","843000000","923000000","948000000","1465000000","1333000000","1394000000","1633000000","1257000000","1402000000","1818000000","1740000000","2019000000","3163000000","3295000000","2965000000","3288000000","5052000000","3453000000","3063000000","3963000000","4512000000","5020000000","4418000000",
"Cyprus","CYP","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.49429874572406","3.11114239459421","3.56130860381246","4.09968081056544","5.64402338238258","5.79526226734347","4.53008530051353","4.25518574283805","3.81936343799072","4.83648283966237","5.65279689315865","6.91097951721547","10.9310803027047","28.4429712159969","28.3615605113653","31.0060640016541","30.8094441705724","26.7960853906339","25.9128984999079","32.1012009513857","31.5945000922199","32.1600284483055","29.7212887587558","28.7274862365173","27.5703628114745","34.6537133131077","29.3429653823012","27.5999867793992","19.2927213513086","20.6199014444307",
"Cyprus","CYP","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","","","","","","","","1.03747834135946","1.39214890803536","1.35847917871638","1.88321351076719","1.8293160828068","1.87192104741412","1.42838344433766","1.03804033771116","1.56218041849868","1.26198693666745","1.14479412355397","0.905742960269672","0.87728005980712","0.793109016533997","0.823875284799839","1.01119255698206","0.983634580385556","1.05436156725329","","0.85882135593192","0.52375408835829","0.435758488797652","0.735722769710679","0.565836117746477","0.598360444606786","0.713325297830614","0.795671640951765","0.94062217174661","0.605252733334665","0.69633554644911","0.695452078663923","0.999490806867182","1.03867291520124","0.912574629135459","0.840285252859898","1.24597512659151","1.3448789771438","1.41578209509725","1.50501610651189","1.40802199271926","1.67072899158172","1.82469536649591","1.84720512032803","1.68239180145482","1.26615079899464","1.26442425254182","1.14505112178295","0.984591081049625","0.730146743704782","0.704828464607245","0.799566536001341","0.876415796289517","0.976153505782813","0.551221391714315","0.447592863339026",
